location_name	top_category	latitude	longitude
Top Dog Grooming	Other Personal Services	43.073582	-75.321534
Sunoco	Gasoline Stations	43.240521	-75.438101
Wella's Kitchen	Restaurants and Other Eating Places	43.023939	-74.984925
Wadas Eye Group	Health and Personal Care Stores	43.027565	-74.97955
Delta Lake State Park	Museums, Historical Sites, and Similar Institutions	43.289278	-75.418601
Adirondack Food and Fuel	Gasoline Stations	43.038833	-75.086685
LL Flooring	Home Furnishings Stores	43.090202	-75.316717
Dream City Mattress	Furniture Stores	43.022895	-74.992599
Beauty Nails & Spa	Personal Care Services	43.084032	-75.32755
Dunkin'	Restaurants and Other Eating Places	43.081906	-75.321971
Runway Hair Salon	Personal Care Services	43.07754	-75.293514
Suzuki	Other Motor Vehicle Dealers	43.231241	-75.497164
Cafe Florentine	Restaurants and Other Eating Places	43.091653	-75.31543
Boil Shack	Restaurants and Other Eating Places	43.079035	-75.316624
Hipstir Cafe	Restaurants and Other Eating Places	43.09424	-75.652656
Marcy Driving Range & Miniature Golf	Other Amusement and Recreation Industries	43.137643	-75.265955
Fastrac	Gasoline Stations	43.13311	-75.256333
Now Playing Boutique	Other Miscellaneous Store Retailers	43.136067	-75.262675
Stewart's Shops	Grocery Stores	43.068319	-75.347543
The War Club	Other Amusement and Recreation Industries	43.248798	-75.382913
Mohawk Valley Christian Education Foundation Incorporated	Museums, Historical Sites, and Similar Institutions	43.060469	-75.2558
Karaz Shoes	Shoe Stores	43.077161	-75.296034
Christopher & Banks	Clothing Stores	43.0903	-75.315394
Nails By Yan	Personal Care Services	43.073155	-75.289886
Soul Bowl	Restaurants and Other Eating Places	43.050123	-75.378767
The Medicine Shoppe	Health and Personal Care Stores	43.015214	-75.035221
New Life Assembly Of God	Religious Organizations	43.090786	-75.628411
Applebee's	Restaurants and Other Eating Places	43.022293	-74.994606
Victoria's Secret	Clothing Stores	43.073324	-75.288588
Al's Cycle Parts	Other Motor Vehicle Dealers	43.207066	-75.449087
First Assembly Of God Of Utica New York	Child Day Care Services	43.138022	-75.263903
Kelley's Lip Smackin' Best	Grocery Stores	43.016582	-75.035237
Brooklyn pickes	Restaurants and Other Eating Places	43.077417	-75.64238
New Hartford Shoes & Service	Shoe Stores	43.074239	-75.287616
Saint Mary's Roman Catholic Church	Religious Organizations	43.107535	-75.285031
Stewart's Shops	Grocery Stores	43.03714	-75.069248
Original Herkimer County Cheese	Specialty Food Stores	42.998822	-75.05035
Ballister's Automotive	Automotive Repair and Maintenance	43.211278	-75.348914
Village Crossing On Green	Clothing Stores	43.048736	-75.37896
City of Oneida	Museums, Historical Sites, and Similar Institutions	43.099923	-75.655774
Jamo's Restaurant & Bar	Restaurants and Other Eating Places	43.023978	-74.986292
Harbor Freight Tools	Building Material and Supplies Dealers	43.078278	-75.689587
7-Eleven	Grocery Stores	43.052912	-75.273102
Candella's Greenhouses & Vegetable Stand	Grocery Stores	43.137951	-75.274932
ALDI	Grocery Stores	43.211629	-75.464555
Revamp Fitness	Other Amusement and Recreation Industries	43.02608	-74.984991
Oneida Commons Vendor Mall	Lessors of Real Estate	43.094634	-75.64984
Nunno Auto Sales	Automobile Dealers	43.133158	-75.254706
Farm House Restaurant	Restaurants and Other Eating Places	43.015185	-75.035726
Olcott Hotel	Restaurants and Other Eating Places	43.093242	-75.659181
Trio's Pizza	Restaurants and Other Eating Places	43.108649	-75.287894
Soul Bowl	Restaurants and Other Eating Places	43.096087	-75.305269
Custymize	Electronics and Appliance Stores	43.040363	-75.072782
Moser Excavating & Fencing	Automotive Repair and Maintenance	43.100233	-75.293547
Flowers By Suzanne	Florists	43.034298	-74.960722
Hannaford Supermarkets	Grocery Stores	43.053892	-75.277431
CVS	Health and Personal Care Stores	43.044088	-74.856366
Happy Hounds Doggie Daycare and Boarding	Other Personal Services	43.085971	-75.667664
Doggone Lovely	Other Personal Services	43.205768	-75.450236
King Pin Lanes	Other Amusement and Recreation Industries	43.205554	-75.41335
Creekside Cafe	Restaurants and Other Eating Places	43.050912	-75.272069
Mvcaa Inc Sauquoit Head Start	Child Day Care Services	42.9903	-75.257367
Hello Gorgeous hair salon	Personal Care Services	43.097164	-75.300929
Bladek's Body Shop	Automotive Repair and Maintenance	42.984902	-74.859063
Dick's Wheel Shop	Automotive Repair and Maintenance	43.020905	-74.990057
Betsy Ross Nursing Facility	Nursing Care Facilities (Skilled Nursing Facilities)	43.233473	-75.466034
Village Pizza	Restaurants and Other Eating Places	43.073025	-75.288079
The Shops At 25 West	General Merchandise Stores, including Warehouse Clubs and Supercenters	43.040466	-74.859992
Crestwood Golf Club	Other Amusement and Recreation Industries	43.161886	-75.296307
Cliff's Local Market	Grocery Stores	43.015773	-75.034786
Lake Delta Yacht Club	Other Amusement and Recreation Industries	43.289188	-75.465765
Forward Motion Motorworks	Automotive Repair and Maintenance	43.272126	-75.467485
R & R Kennels	Other Personal Services	43.210603	-75.588807
Rome Memorial Hospital	General Medical and Surgical Hospitals	43.231944	-75.440861
Gold Medal Packing	Grocery Stores	43.191761	-75.342892
Our Lady of the Rosary Church	Religious Organizations	43.094797	-75.280405
Reindance Stables Inc	Other Personal Services	43.025587	-75.207375
Clinton Wine & Spirits	Beer, Wine, and Liquor Stores	43.043026	-75.38614
Label Shopper	Clothing Stores	43.23153	-75.437149
Dollar General	General Merchandise Stores, including Warehouse Clubs and Supercenters	43.302342	-75.473904
Best Buy	Electronics and Appliance Stores	43.092834	-75.30881
Chico's	Clothing Stores	43.090112	-75.31657
Avenue	Clothing Stores	43.089898	-75.312143
Debbie's Electrolysis Studio	Personal Care Services	43.074438	-75.297464
Salvation Barbeque	Restaurants and Other Eating Places	43.096612	-75.650957
Cliff's Local Market	Grocery Stores	43.08025	-75.391617
Davidson Collision Center of Rome	Automotive Repair and Maintenance	43.23202	-75.496128
Skinner Sales	Automotive Repair and Maintenance	43.027173	-74.946174
Brookdale Senior Living	Nursing Care Facilities (Skilled Nursing Facilities)	43.038632	-75.359084
Unique eCigs	Other Miscellaneous Store Retailers	43.082127	-75.322954
Best Pizza In Town	Restaurants and Other Eating Places	43.219411	-75.461694
Bulinski Trucking Automotvie Repair	Automotive Repair and Maintenance	43.050086	-75.085309
China Gourmet	Restaurants and Other Eating Places	43.016857	-75.034943
Bellinger Park	Museums, Historical Sites, and Similar Institutions	43.026137	-74.99758
Smokers Choice	Other Miscellaneous Store Retailers	43.231658	-75.437048
Cuts And Colors My Stock	Health and Personal Care Stores	43.02139	-74.990508
Nice N Easy	Gasoline Stations	43.096431	-75.623367
VIP Nails	Personal Care Services	43.089826	-75.312072
Village Tennis Courts	Other Amusement and Recreation Industries	43.023251	-74.996492
Camroden Golf Course	Other Amusement and Recreation Industries	43.259017	-75.362125
Hummel's Office Plus	Office Supplies, Stationery, and Gift Stores	43.025447	-74.986796
Archer's Auto Body	Automotive Repair and Maintenance	42.946567	-75.047002
BHA Rabbitry	Other Personal Services	43.002029	-75.193685
Enterprise Rent-A-Car	Automotive Equipment Rental and Leasing	43.026023	-74.985359
Central Oneida County Volunteer Ambulance Corps	Other Ambulatory Health Care Services	43.093376	-75.39131
The coffee forks	Restaurants and Other Eating Places	43.094593	-75.651927
The Hair Connection	Personal Care Services	43.083887	-75.34095
A'Peel Day Spa	Personal Care Services	43.047664	-75.378092
Effleurage Day Spa	Personal Care Services	43.07443	-75.288696
Family Dollar Stores	General Merchandise Stores, including Warehouse Clubs and Supercenters	43.23053	-75.437906
Suzuki	Other Motor Vehicle Dealers	42.999283	-75.04926
Big Lots Stores	General Merchandise Stores, including Warehouse Clubs and Supercenters	43.225327	-75.48423
Talbots	Clothing Stores	43.080438	-75.321041
Pilates Contrology Studio	Other Amusement and Recreation Industries	43.044276	-74.857328
MasterCuts	Personal Care Services	43.073369	-75.288596
Fieldstone Collectibles & Gifts	Used Merchandise Stores	43.0855	-75.354162
Gurley & Fleet	Automotive Repair and Maintenance	43.175321	-75.420624
