location_name	top_category	latitude	longitude
Ember Hair and Beauty	Personal Care Services	42.868682	-73.926608
Chontong Thai	Restaurants and Other Eating Places	42.629406	-73.810617
Aurora's Willow Creek	Used Merchandise Stores	42.73209	-73.690457
Ideal Nutrition	Restaurants and Other Eating Places	42.85259	-73.755784
Cafe Madison	Restaurants and Other Eating Places	42.666038	-73.791923
Delmar Bistro	Restaurants and Other Eating Places	42.627405	-73.812275
St Joseph's Church	Religious Organizations	42.715948	-73.693257
Peter Pause Restaurant	Restaurants and Other Eating Places	42.820598	-73.929586
Kylie and Company Salon	Personal Care Services	42.647969	-73.696952
Dunkin'	Restaurants and Other Eating Places	42.993314	-73.850642
Hertz	Automotive Equipment Rental and Leasing	42.866747	-73.776642
Little Ones Too Nursery & Montessori School	Child Day Care Services	42.812268	-73.917006
Riverside Plaza	Lessors of Real Estate	42.784873	-73.673248
Standard Commercial Interiors	Office Supplies, Stationery, and Gift Stores	42.672245	-73.735426
L A Pet Salon & Spa	Other Miscellaneous Store Retailers	42.966706	-73.79167
CVS	Health and Personal Care Stores	42.807267	-73.914726
Mohawk Hudson Humane Society	Other Miscellaneous Store Retailers	42.688907	-73.724024
Rockin' Hops	Specialty Food Stores	42.939016	-73.817349
Hannaford Supermarkets	Grocery Stores	43.09692	-73.747098
Casa Real Mexican Restaurant	Restaurants and Other Eating Places	42.78358	-73.944502
Adirondack Cigar Shoppe	Other Miscellaneous Store Retailers	43.081429	-73.784175
Community Hospice	Home Health Care Services	43.090571	-73.792562
Off Shore Pier Restaurant & Fish Market	Specialty Food Stores	42.644617	-73.698691
Capitaland Used Car Center	Automobile Dealers	42.861113	-73.934625
River Street Club	Motion Picture and Video Industries	42.740101	-73.685504
Price Chopper New England	Grocery Stores	43.072679	-73.793085
Saratoga Speech Center	Other Amusement and Recreation Industries	43.120101	-73.769649
Troy Vision Center	Health and Personal Care Stores	42.730788	-73.690001
Gold Key Chinese Restaurant	Restaurants and Other Eating Places	42.657085	-73.802646
FYE	General Merchandise Stores, including Warehouse Clubs and Supercenters	42.808103	-73.989164
Hilton Garden Inn Albany SUNY Area	Traveler Accommodation	42.688456	-73.815806
Xtra Room Secured Storage	Lessors of Real Estate	42.802439	-73.982757
Horseshoe Inn Bar & Grill	Restaurants and Other Eating Places	43.068314	-73.773163
Sunoco	Gasoline Stations	42.820219	-73.925975
Point Breeze Marina	Other Motor Vehicle Dealers	43.052169	-73.721584
Bunzl Scotia	Grocery Stores	42.839408	-73.981646
Von's Airline Service Station	Automotive Repair and Maintenance	42.718407	-73.692703
Barnes and Noble	Book Stores and News Dealers	43.101251	-73.745331
Mohawk Taproom & Grill	Restaurants and Other Eating Places	42.826395	-73.964353
Malta Health & Fitness	Other Amusement and Recreation Industries	42.934347	-73.812603
Starbucks	Restaurants and Other Eating Places	42.971327	-73.797844
Little India	Restaurants and Other Eating Places	43.078507	-73.778875
Dunkin'	Restaurants and Other Eating Places	42.689786	-73.819592
Delmar Wine & Liquor	Beer, Wine, and Liquor Stores	42.622881	-73.830025
Saratoga Performing Arts Center	Other Amusement and Recreation Industries	43.05536	-73.805925
Head Start Saratoga County	Child Day Care Services	43.124926	-73.745822
New Beginnings Style Studio	Personal Care Services	43.047117	-73.850084
Saratoga Oklahoma Track	Restaurants and Other Eating Places	43.080107	-73.762643
Delmar Beverage Center	Beer, Wine, and Liquor Stores	42.626496	-73.819422
Kohl's	Department Stores	43.095309	-73.746066
I Love New York Pizza	Restaurants and Other Eating Places	43.077334	-73.789617
Partition Wine and Liquors	Beer, Wine, and Liquor Stores	42.646277	-73.739503
Phils Automotive	Automotive Repair and Maintenance	42.702132	-73.715314
Mobil	Gasoline Stations	42.861979	-73.780533
Living Hope Christian Church	Religious Organizations	42.935549	-73.874649
China Max	Restaurants and Other Eating Places	42.808605	-73.989037
East Side Neighborhood Recreation Center Inc	Child Day Care Services	42.704737	-73.65989
Luke's Pizzeria	Restaurants and Other Eating Places	42.672866	-73.785648
Mobil	Gasoline Stations	43.073002	-73.78808
Balet Flowers & Design	Florists	43.039104	-73.762615
Troy Beverage Center	Beer, Wine, and Liquor Stores	42.707967	-73.697935
Cartridge World	Office Supplies, Stationery, and Gift Stores	42.863732	-73.788376
Just Glamorous Salon & Boutique	Personal Care Services	42.867306	-73.772676
RejuvenEssenceNY	Personal Care Services	43.085994	-73.792354
Irie Vybez	Restaurants and Other Eating Places	42.664921	-73.772285
Mr Sam Food Market	Grocery Stores	42.667362	-73.770477
Runway Express	Gasoline Stations	42.975785	-73.861183
Saratoga Hot Dog	Restaurants and Other Eating Places	43.089751	-73.770343
Famous Footwear	Shoe Stores	43.108368	-73.738148
Paesan's Pizza & Restaurant	Restaurants and Other Eating Places	42.790366	-73.96883
City Discount Furniture	Furniture Stores	42.663695	-73.772016
St Basil's Greek Orthodox Church	Religious Organizations	42.753617	-73.683085
Power's Inn & Pub	Restaurants and Other Eating Places	42.888524	-73.772006
Delmonico's Italian Steakhouse	Restaurants and Other Eating Places	42.863269	-73.772335
T and J Soaps	Clothing Stores	42.732201	-73.691371
Benson's Pet Center	Other Miscellaneous Store Retailers	42.864321	-73.773532
Stoney's Irish Grill	Restaurants and Other Eating Places	42.827166	-73.922366
Hudson River Self Storage	Lessors of Real Estate	42.827007	-73.666879
Recovery Room Sports Grill	Restaurants and Other Eating Places	42.652307	-73.776618
Cdy Albany Menands School	Child Day Care Services	42.686417	-73.732637
Massage At Saratoga	Personal Care Services	43.070416	-73.794345
Stewart's Shops	Grocery Stores	42.824284	-73.732566
Envy Hair Salon	Personal Care Services	42.847053	-73.941359
K C Custom Framing	Sporting Goods, Hobby, and Musical Instrument Stores	43.124029	-73.766604
Mark's Grill	Restaurants and Other Eating Places	42.786498	-73.96962
Mill Creek Golf	Other Amusement and Recreation Industries	43.045743	-73.852205
Something Bleu Bridal	Clothing Stores	43.084764	-73.786003
Lemon Tree Family Hair Salin	Personal Care Services	42.866157	-73.782726
Good Medicine	Personal Care Services	42.659237	-73.777901
Subway	Restaurants and Other Eating Places	42.903649	-73.689069
Superior Coach Body Shop	Automotive Repair and Maintenance	43.093095	-73.774773
The Bundle Store	Clothing Stores	43.002773	-73.850117
Countertop Fabrication	Home Furnishings Stores	43.104573	-73.636972
Clare's Embroidery	Sporting Goods, Hobby, and Musical Instrument Stores	43.076528	-73.790174
Albany Wine & Spirits	Beer, Wine, and Liquor Stores	42.680627	-73.792315
A Team Painting	Automotive Repair and Maintenance	42.717427	-73.693559
Mario's Pizza & Pasta	Restaurants and Other Eating Places	42.984012	-73.785998
Albany Medical Center Hospital	General Medical and Surgical Hospitals	42.653671	-73.777163
TCC	Electronics and Appliance Stores	42.743782	-73.64427
Hoosick Street Discount Beverage Center	Beer, Wine, and Liquor Stores	42.737803	-73.670906
Carter's	Clothing Stores	42.859813	-73.779928
Express Auto Repair	Gasoline Stations	42.866353	-73.776788
S & A West Indian American Groceries	Grocery Stores	42.662657	-73.768547
Pizza Hut	Restaurants and Other Eating Places	43.074852	-73.788134
Rose Hair & Healing	Personal Care Services	42.732544	-73.688344
Turf Tavern	Restaurants and Other Eating Places	42.825052	-73.9608
Renewal By Anderson	Building Material and Supplies Dealers	42.782869	-73.98875
The Savory Pantry	Office Supplies, Stationery, and Gift Stores	43.083698	-73.784329
Dunkin'	Restaurants and Other Eating Places	43.011101	-73.849593
IGA	Grocery Stores	42.780061	-73.956739
European Wax Center (EWC)	Personal Care Services	42.862438	-73.783069
Broadway Bite	Restaurants and Other Eating Places	42.647529	-73.739299
Checkerhills Farm	Other Miscellaneous Store Retailers	42.836308	-73.934351
Mex Cocina	Restaurants and Other Eating Places	42.728907	-73.690294
Church of Jesus Christ	Religious Organizations	42.665424	-73.769983
Martinez Gallery	Other Miscellaneous Store Retailers	42.731298	-73.691917
Indian Motorcycle	Other Motor Vehicle Dealers	43.003553	-73.789789
Albany Jewish Community Center	Child Day Care Services	42.648605	-73.807134
Hayner's Sports Barn	Other Amusement and Recreation Industries	42.856827	-73.727425
Lowe'S Center	Lessors of Real Estate	43.105076	-73.746071
Subway	Restaurants and Other Eating Places	42.665275	-73.773409
Good Friends II	Restaurants and Other Eating Places	42.798278	-73.965085
Wolferts Roost Country Club	Other Amusement and Recreation Industries	42.679593	-73.746312
Comfort Inn	Traveler Accommodation	42.834703	-73.970254
