Building type	Coordinates (latitude)	Coordinates (longitude)	Number of employees/students	Number of students/residence	School type
F	40.92425753	-73.78798574	0	331	college
F	40.9252677	-73.7881708	0	331	college
F	40.92842476	-73.78365627	0	331	college
F	40.965715	-73.787844	70	180	daycare,middle
F	40.963727	-73.793215	140	960	daycare,high
F	40.902364	-73.778153	140	1069	middle
F	40.897289	-73.790294	90	529	primary
F	40.91157927	-73.77671101	0	100	college
F	40.91093293	-73.77816003	0	100	college
F	40.91066437	-73.77849331	0	20	college
F	40.91028658	-73.77877976	0	100	college
F	40.90986029	-73.77973065	0	20	college
F	40.90944461	-73.77978726	0	100	college
F	40.91199543	-73.7763723	0	331	college
F	40.91205299	-73.7759104	0	100	college
F	40.9121197	-73.77594361	0	100	college
F	40.91059051	-73.77828956	0	100	college
F	40.91054281	-73.77863818	0	100	college
F	40.90984633	-73.77987702	0	20	college
F	40.91141488	-73.7763288	0	331	college
F	40.929742	-73.794612	340	3331	high
F	40.924213	-73.791494	70	167	primary,middle
F	40.894181	-73.789759	55	74	daycare
F	40.91684	-73.768381	90	528	high
F	40.906909	-73.784088	80	275	primary,high
F	40.918466	-73.79772	55	102	daycare,middle
F	40.9799907	-73.726897	0	147	daycare, primary
F	40.954113	-73.783292	70	174	daycare,middle
F	40.949076	-73.797313	115	780	middle,high
F	40.903001	-73.774209	140	821	primary
F	40.955691	-73.783837	140	1039	primary
F	40.9239329	-73.7954195	0	112	daycare
F	40.9260118	-73.8021074	0	16	daycare
F	40.912796	-73.7830572	0	134	daycare
F	40.919649	-73.7942354	0	16	daycare
F	40.9275624	-73.795445	0	16	daycare
F	40.9165205	-73.7933182	0	16	daycare
F	40.9215509	-73.7931522	0	8	daycare
F	40.9243089	-73.7999187	0	16	daycare
F	40.9212918	-73.8004865	0	16	daycare
F	40.923967	-73.7924217	0	16	daycare
F	40.91932	-73.7966197	0	16	daycare
F	40.927167	-73.7963509	0	76	daycare
F	40.9108197	-73.7903069	0	16	daycare
F	40.9202894	-73.7936092	0	16	daycare
F	40.916171	-73.7949032	0	43	daycare
F	40.9173154	-73.7922753	0	96	daycare
F	40.9003192	-73.7902216	0	10	daycare
F	40.9095009	-73.7822458	0	39	daycare
F	40.9112968	-73.7830521	0	20	daycare
F	40.925717	-73.7843457	0	16	daycare
F	40.9046414	-73.7874257	0	20	daycare
F	40.9257834	-73.7772547	0	16	daycare
F	40.9210789	-73.7758298	0	43	daycare
F	40.9005434	-73.7720286	0	10	daycare
F	40.9646979	-73.7843317	0	147	daycare
F	40.9060115	-73.7845994	0	44	daycare
F	40.930405	-73.7867537	0	47	daycare
F	40.9237438	-73.7901399	0	20	daycare
F	40.9692809	-73.7875499	0	16	daycare
F	40.9303564	-73.7992409	0	8	daycare
F	40.9428106	-73.7948165	0	145	daycare
F	40.9068771	-73.8189607	0	36	daycare
F	40.9310789	-73.7962104	0	16	daycare
F	40.956495	-73.7859546	0	16	daycare
F	40.9000463	-73.7889746	0	16	daycare
F	40.9110059	-73.8015391	0	80	daycare
F	40.896039	-73.7865747	0	16	daycare
F	40.9293595	-73.7693146	0	8	daycare
H	40.912912	-73.787528	2206	202	
AA	40.914591	-73.786576	80	100	
AA	40.916863	-73.788682	120	100	
AA	40.8966512	-73.7812297	0	135	
AA	40.894725	-73.781787	130	90	
AA	40.8902447	-73.7894444	0	100	
AA	40.8982223	-73.7808515	0	10	
AA	40.8975203	-73.7818416	0	25	
AA	40.909571	-73.792891	105	102	
AA	40.9135658	-73.7779381	0	150	
AA	40.9096373	-73.7809086	0	100	
AA	40.9210297	-73.8159926	0	120	
AA	40.9143791	-73.7887004	0	125	
AA	40.929115	-73.788614	60	40	
