location_name	top_category	latitude	longitude
Mount Vernon Optometry Associates,Health and Personal Care Stores,40.91162,-73.839844
Lincoln Park Jewish Center,Religious Organizations,40.916677,-73.872653
N Y Eye Care,Health and Personal Care Stores,40.90822,-73.872907
NYC DOB Signs,Consumer Goods Rental,40.909259,-73.850092
Susan E Wagner Day School,Child Day Care Services,40.890773,-73.85863
Michael Kors,Clothing Stores,40.863897,-73.827441
C Town Supermarkets,Grocery Stores,40.883884,-73.848989
Assyrian Church of the East,Religious Organizations,40.930882,-73.903461
Red Lobster,Restaurants and Other Eating Places,40.869043,-73.82713
City Of Mount Vernon Youth Bureau Columbus Elem,Child Day Care Services,40.919752,-73.840015
The Children's Place,Clothing Stores,40.866782,-73.825734
Hatuey Cigars,Other Miscellaneous Store Retailers,40.949508,-73.731863
Westchester Ballroom,Other Amusement and Recreation Industries,40.955994,-73.864792
Vinny's Luncheonette,Restaurants and Other Eating Places,41.004448,-73.660331
LEGOLAND Discovery Center,Other Amusement and Recreation Industries,40.966848,-73.857169
J B Auto Center,Automotive Repair and Maintenance,40.913769,-73.85728
Euro Eatery & Market,Grocery Stores,40.919632,-73.860432
Heritage Bar & Restaurant,Restaurants and Other Eating Places,40.903387,-73.865873
Mulligans Outdoor Cafe,Restaurants and Other Eating Places,41.04399,-73.689403
Trevor Park & Playground,Other Amusement and Recreation Industries,40.952817,-73.896957
Sofia's Family Daycare,Child Day Care Services,40.861653,-73.854169
Daisy Nails,Personal Care Services,40.935543,-73.861843
Villa Maria Pizzeria,Restaurants and Other Eating Places,40.862255,-73.843079
Veronicas Dairy & Deli Inc,Restaurants and Other Eating Places,40.903054,-73.86615
Olga's Beauty Salon,Personal Care Services,40.909067,-73.846123
Bareskin Medspa,Personal Care Services,41.00433,-73.674111
Glitzzy Hair Bronx,Personal Care Services,40.875345,-73.851215
Sephora,Health and Personal Care Stores,40.864761,-73.82641
New England Tile & Stone,Building Material and Supplies Dealers,41.001456,-73.665439
Photo Dynamics & Maintenance,Office Supplies, Stationery, and Gift Stores,40.917711,-73.871292
One Family Deli Grocery,Grocery Stores,40.943368,-73.898545
Against All Odds,Sporting Goods, Hobby, and Musical Instrument Stores,40.864154,-73.82681
GNC (General Nutrition Centers),Health and Personal Care Stores,40.927568,-73.85335
CVS,Health and Personal Care Stores,41.000106,-73.67914
Lola On The Grill,Restaurants and Other Eating Places,40.953405,-73.843978
King Street Rehab,Other Amusement and Recreation Industries,41.027622,-73.668654
Speedway,Gasoline Stations,40.956343,-73.737797
Fu Hing Restaurant,Restaurants and Other Eating Places,40.934466,-73.896354
CITGO,Gasoline Stations,40.888814,-73.841608
Mamaroneck Community Nursery School,Child Day Care Services,40.950784,-73.728939
Sound Shore Vision Center,Health and Personal Care Stores,40.953994,-73.724014
Nawab,Restaurants and Other Eating Places,40.933204,-73.899396
Don Bosco Community Cntr,Religious Organizations,40.996826,-73.664117
Royal Caribbean Bakery,Bakeries and Tortilla Manufacturing,40.897618,-73.825809
Jones Prestige Cut,Personal Care Services,40.897227,-73.85475
ConocoPhillips,Gasoline Stations,40.951598,-73.744233
Beulah Seventh Day Adventist Church,Religious Organizations,40.900436,-73.838229
Christian Love Tabernacle,Religious Organizations,40.935604,-73.898569
The Nail Bar,Personal Care Services,40.92577,-73.838218
202 Kitchen Wood Fired Pizza & Grandma's Pies,Restaurants and Other Eating Places,41.289822,-73.837237
Fortunoff Backyard Store,Furniture Stores,40.980867,-73.829264
Anna's Attic,Office Supplies, Stationery, and Gift Stores,40.903507,-73.866349
NISSAN CITY OF PORT CHESTER,Automobile Dealers,40.996155,-73.669729
