location_name,top_category,latitude,longitude
 and Musical Instrument Stores, Hobby,Sporting Goods,Yogo Joy,40.989383,-73.807235
Automotive Repair and Maintenance,USA Car Wash,40.891628,-73.817626
Personal Care Services,Salon Pure,40.930588,-73.76219
Religious Organizations,Gileade Biblical Community,40.921992,-73.79968
Health and Personal Care Stores,CVS,40.913433,-73.775442
Restaurants and Other Eating Places,Bellizzi,40.937382,-73.746815
Restaurants and Other Eating Places,D & A Smokehouse,40.99719,-73.817584
Automotive Repair and Maintenance,A V Desio's Future Automotive,40.893994,-73.82145
Personal Care Services,Gisele's Salon,40.928383,-73.752062
 and Musical Instrument Stores, Hobby,Sporting Goods,Viking Sewing Gallery,40.991783,-73.823033
Specialty Food Stores,Tree Of Chocolate,40.932503,-73.759472
 and Similar Institutions, Historical Sites,Museums,Pinebrook Park Ward Drive,40.963975,-73.780069
Restaurants and Other Eating Places,Double Rainbow,40.906724,-73.811552
Child Day Care Services,Playful Wonders Inc,40.898693,-73.809292
Restaurants and Other Eating Places,Jewel of Himalaya,40.997075,-73.817637
Restaurants and Other Eating Places,Napizza,40.908747,-73.782473
Restaurants and Other Eating Places,SWIRLNJOY Scarsdale,40.987277,-73.809811
 and Similar Institutions, Historical Sites,Museums,Pine Brook Park,40.935811,-73.755066
Clothing Stores,Banana Republic,40.970524,-73.804994
Restaurants and Other Eating Places,Mister Chen Express,40.98589,-73.810158
Restaurants and Other Eating Places,Stan'z Cafe,40.929804,-73.75202
Restaurants and Other Eating Places,Durian,40.933316,-73.759389
 and Similar Institutions, Historical Sites,Museums,Harwood Park,40.997859,-73.790182
Other Amusement and Recreation Industries,Barre10,40.946953,-73.796877
Furniture Stores,Mattress Firm,40.900158,-73.794057
Building Material and Supplies Dealers,Wise Hardware,40.912881,-73.809194
 and Liquor Stores, Wine,Beer,New York Liquor,40.928993,-73.764709
Restaurants and Other Eating Places,New Golden Wok,40.910602,-73.781815
Florists,Rosehip & Linnea,40.987628,-73.809868
Restaurants and Other Eating Places,Larchmont Deli,40.921324,-73.763349
Health and Personal Care Stores,Scarsdale Spencer Pharmacy,40.990027,-73.807255
Restaurants and Other Eating Places,Bradley's Desserts & Cafe,40.929505,-73.751308
Travel Arrangement and Reservation Services,MC Travel Management,40.92837,-73.794334
Consumer Goods Rental,Dominique's Daycare,40.900508,-73.769785
Furniture Stores,Current Home,40.984902,-73.777837
Personal Care Services,Coco Nail Spa,40.970487,-73.807028
Automotive Repair and Maintenance,L & R Auto Services LLC,40.979846,-73.776362
Religious Organizations,Focolare Movement Mens Branch,40.923344,-73.791011
Automotive Equipment Rental and Leasing,Avis Rent A Car,40.986871,-73.808576
Religious Organizations,Christ United Methodist Church,40.942229,-73.794943
Restaurants and Other Eating Places,Juliano's Caterers,40.904133,-73.787947
Religious Organizations,Congregation Anshe Sholom,40.905272,-73.776989
Lessors of Real Estate,New Roc City,40.911028,-73.780216
Restaurants and Other Eating Places,Patrias Restaurant,40.909162,-73.781632
Restaurants and Other Eating Places,Taqueria San Antonio,40.909002,-73.795798
Personal Care Services,RitaMarie Salon,40.905764,-73.812266
Restaurants and Other Eating Places,R Cafe & Tea Boutique,40.908994,-73.784215
 and Gift Stores, Stationery,Office Supplies,Island Quest Gifts,40.912532,-73.808839
Automotive Repair and Maintenance,Polo's Auto Body,40.928576,-73.768891
 and Musical Instrument Stores, Hobby,Sporting Goods,Loki Powersports,40.931672,-73.749898
Health and Personal Care Stores,Merle Norman Cosmetics,40.988817,-73.807401
Personal Care Services,Maggie Nails,40.921883,-73.788325
Religious Organizations,St Catherine AME Zion Church,40.917826,-73.786789
Restaurants and Other Eating Places,Westchester Bagel Cafe,40.971034,-73.80667
Restaurants and Other Eating Places,The Nook Eatery,40.91504,-73.772298
Personal Care Services,Hair Dreams Studio,40.948589,-73.792376
Automotive Repair and Maintenance,Pelham Lube,40.891609,-73.817639
Other Amusement and Recreation Industries,Body & Brain Yoga Tai Chi,41.002002,-73.813752
Personal Care Services,Phenix Salon Suites,40.948762,-73.792064
Personal Care Services,Salon Seventy Six,40.906175,-73.777867
Restaurants and Other Eating Places,Texas Chicken & Burgers,40.90957,-73.780726
Electronics and Appliance Stores,Love Music,40.914048,-73.784529
Personal Care Services,Vogue Nails,40.945725,-73.796063
Restaurants and Other Eating Places,Rosarito's Deli & Grill,40.92388,-73.758794
Health and Personal Care Stores,Harmon Discount New Rochelle,40.948424,-73.792596
Other Amusement and Recreation Industries,Walk2fit Usa,40.985952,-73.81001
Personal Care Services,Simply Coco's,40.94868,-73.792264
Personal Care Services,Nail Pro,40.972475,-73.804699
Religious Organizations,Ministerios Vida de Dios Ministerios Ebenezer,40.90881,-73.781398
Automotive Repair and Maintenance,Mavis Discount Tire,40.994075,-73.820324
 and Musical Instrument Stores, Hobby,Sporting Goods,Modell's Sporting Goods,40.892462,-73.820325
Gasoline Stations,Sunoco,40.929026,-73.763996
Restaurants and Other Eating Places,Cannone's Pizza,40.924143,-73.78808
 and Similar Institutions, Historical Sites,Museums,Lincoln Park,40.916616,-73.789769
Grocery Stores,Remi's Place,40.898769,-73.799086
Religious Organizations,Pentecostal Faith Church,40.91788,-73.793804
 and Similar Institutions, Historical Sites,Museums,Ward Acres,40.952888,-73.783903
Restaurants and Other Eating Places,Soula's Kitchen,40.915282,-73.807589
Restaurants and Other Eating Places,Kearns Larchmont Deli,40.933187,-73.758986
Restaurants and Other Eating Places,Panera Bread,40.99305,-73.822269
Religious Organizations,Emanuel A M E Church,40.930089,-73.767382
Other Amusement and Recreation Industries,Hour To Exit Escape Games,40.909479,-73.779993
Gasoline Stations,CITGO,40.91225,-73.775155
Restaurants and Other Eating Places,Eldorado Diner,40.99612,-73.817768
Automotive Repair and Maintenance,MG Martins Auto,40.923989,-73.781976
Restaurants and Other Eating Places,Cantina Lobos,40.906552,-73.811653
Health and Personal Care Stores,Pink On Palmer,40.9332,-73.759017
 and Liquor Stores, Wine,Beer,Atpgroup,40.932603,-73.762252
Religious Organizations,St John's Church,40.919932,-73.750403
Restaurants and Other Eating Places,Harbour House Coffee Shop,40.932396,-73.759599
Restaurants and Other Eating Places,Sea Flame Restaurant,40.971053,-73.806647
Grocery Stores,Green Harvest,40.987156,-73.809809
Restaurants and Other Eating Places,The Chipper Truck Cafe,40.915115,-73.807573
Electronics and Appliance Stores,Alarming Sounds,40.917516,-73.806836
Restaurants and Other Eating Places,Pelville Coffee & Pastry,40.915286,-73.807522
Restaurants and Other Eating Places,Yumi,40.893771,-73.820547
Restaurants and Other Eating Places,Delicias El Dorado,40.909156,-73.781681
Religious Organizations,Holy Name Church,40.918426,-73.771905
Personal Care Services,Lash Out Loud,40.91505,-73.785075
Automobile Dealers,Jaguar Land Rover Larchmont New Rochelle,40.920593,-73.765167
Home Furnishings Stores,All Home Appliances Kitchen & Bath,40.914268,-73.782606
Grocery Stores,Acme Markets,40.947168,-73.793993
 and Musical Instrument Stores, Hobby,Sporting Goods,Pedro Sanchez Cycling,40.901593,-73.788163
Restaurants and Other Eating Places,Larchmont Gourmet,40.93333,-73.759358
Automobile Dealers,Alfa Romeo FIAT of Larchmont,40.930353,-73.750672
Restaurants and Other Eating Places,Anna Maria's Restaurant,40.929686,-73.751745
Restaurants and Other Eating Places,La Fontanella,40.909299,-73.811156
Specialty Food Stores,New Rochelle's Down to Earth Farmers Market,40.91803,-73.785882
Automobile Dealers,Dynasty Leasing,40.931218,-73.761112
Automobile Dealers,New Rochelle Hyundai,40.917589,-73.768904
Personal Care Services,Bespoke Barber Shop,40.916423,-73.784716
