location_name	top_category	latitude	longitude
Chinatown Restaurant,Restaurants and Other Eating Places,40.918038,-73.786378
Acds Westchester,Child Day Care Services,40.981055,-73.816981
Great Day Family Child Care,Child Day Care Services,40.927561,-73.7933
CITGO,Gasoline Stations,40.919648,-73.788757
Fenway Golf Club,Other Amusement and Recreation Industries,40.998226,-73.765697
Amy Nail,Personal Care Services,40.920106,-73.805179
Larchmont's Down to Earth Farmers Market,Specialty Food Stores,40.934292,-73.763296
Westchester's Finest Barber Shop,Personal Care Services,40.91085,-73.81016
Alef Bet Preschool,Child Day Care Services,40.943968,-73.795506
New Generation Electronics,Automotive Repair and Maintenance,40.921217,-73.788466
MERCEDES BENZ OF NEW ROCHELLE,Automobile Dealers,40.918863,-73.767745
Corell Park,Museums, Historical Sites, and Similar Institutions,40.993424,-73.757557
Ruby Red,Restaurants and Other Eating Places,40.923647,-73.78792
Cherry Lawn Farm Market,Specialty Food Stores,40.958957,-73.772944
The Rail House 10803,Restaurants and Other Eating Places,40.910941,-73.810431
Igor Gracie Jiu Jitsu Academy,Other Amusement and Recreation Industries,40.916513,-73.769879
Sound Movement,Other Amusement and Recreation Industries,40.931467,-73.760821
BP,Gasoline Stations,41.001112,-73.814222
Brothers of Holy Cross,Religious Organizations,40.933198,-73.780875
Standing Room Only,Restaurants and Other Eating Places,40.9815,-73.776547
Alarming Sounds,Automotive Repair and Maintenance,40.917516,-73.806836
BP,Gasoline Stations,40.890835,-73.817459
Scarsdale Pizza Station,Restaurants and Other Eating Places,40.986393,-73.808734
Rainbow Body Works,Automotive Repair and Maintenance,40.908605,-73.782347
Wykagyl Country Club,Other Amusement and Recreation Industries,40.947332,-73.78761
Heritage Auto School,Used Merchandise Stores,40.911172,-73.780961
Five Guys,Restaurants and Other Eating Places,40.893925,-73.82012
Yeomiji,Restaurants and Other Eating Places,40.990035,-73.807466
John's Ravioli,Grocery Stores,40.90233,-73.789629
Grace Lutheran Church,Religious Organizations,40.983531,-73.807117
New Rochelle Deli,Restaurants and Other Eating Places,40.909396,-73.780569
PetSmart,Other Miscellaneous Store Retailers,40.974287,-73.803965
Alvin & Friends,Restaurants and Other Eating Places,40.908828,-73.782625
J F Relax,Personal Care Services,40.906941,-73.78486
CrossFit,Other Amusement and Recreation Industries,40.919464,-73.787854
CVS,Health and Personal Care Stores,40.910194,-73.781438
East Avenue Cafe,Restaurants and Other Eating Places,40.931967,-73.760079
UNL Solutions,Electronics and Appliance Stores,40.913914,-73.777808
Marina Di Calabria,Restaurants and Other Eating Places,40.893723,-73.782103
Dunkin',Restaurants and Other Eating Places,40.989064,-73.808809
Integrity Sales,Automobile Dealers,40.909489,-73.781149
ABTsolute Training Systems,Other Amusement and Recreation Industries,40.928196,-73.771788
Encore Bistro Francais,Restaurants and Other Eating Places,40.92975,-73.751918
Golden New York Bagels,Restaurants and Other Eating Places,40.922724,-73.788339
New Rochelle Express Service,Automotive Repair and Maintenance,40.913866,-73.775331
DeCicco and Sons,Restaurants and Other Eating Places,40.928605,-73.764999
Peony Nail & Day Spa,Personal Care Services,40.987801,-73.80829
Fratelli Pizza,Restaurants and Other Eating Places,40.914367,-73.77366
Sandwich King,Restaurants and Other Eating Places,40.898674,-73.777799
Pelham Palace,Restaurants and Other Eating Places,40.906361,-73.811862
Dominique's Daycare,Child Day Care Services,40.900525,-73.769825
Greenville Shopping Center,Lessors of Real Estate,40.995309,-73.819713
Amore Pizza,Restaurants and Other Eating Places,40.980757,-73.776529
A No 1 Pizza,Restaurants and Other Eating Places,40.923144,-73.788002
SiteOne Landscape Supply,Building Material and Supplies Dealers,40.932423,-73.764378
V P Designs,Furniture Stores,40.904889,-73.786924
Mini's Latin Fusion,Restaurants and Other Eating Places,40.914868,-73.772444
HomeGoods,Home Furnishings Stores,40.995052,-73.820028
Galloway's Bakery,Bakeries and Tortilla Manufacturing,40.980089,-73.809854
Anshe Sholom Synagogue,Religious Organizations,40.905263,-73.776998
Silkie's Saloon,Restaurants and Other Eating Places,40.909824,-73.779782
Park Avenue Barbers,Personal Care Services,41.028137,-73.791185
Uniquepos,Electronics and Appliance Stores,40.920158,-73.764728
Montessorischool Of New Rochelle In Pelham Inc,Child Day Care Services,40.886952,-73.791788
EGA Medical,Personal Care Services,40.93371,-73.758452
Patio com,Other Miscellaneous Store Retailers,41.001622,-73.813912
SLICE of Scarsdale,Restaurants and Other Eating Places,40.987298,-73.809789
