occupation	latitude	longitude	zipcode
Basco_Locks_&_Security	B	40.893656	-73.845084	10466

Spine_And_Joint_Group	A	40.967672	-73.883986	10701

Liberty_Tax_Service	A	40.880743	-73.839133	10469

Life_Focus_Nutrition	A	41.002767	-73.684426	10573

John_F_Kennedy_Magnet_School	A	40.997962	-73.671617	10573

Apex_Hudson_Riverfront	C	40.931113	-73.904204	10701

Capri_III_Deli	C	40.865048	-73.82236	10475

European_Wax_Center_(EWC)	B	40.97829	-73.83166	10710

Footaction	C	40.927307	-73.852873	10704

American_Eagle_Outfitters	C	40.928572	-73.85453	10704

Port_Chester_Yacht_Club	C	40.99002	-73.659341	10573

La_Herradura	B	40.951695	-73.736342	10543

Yonkers_Family_Dentist	A	40.94954	-73.848219	10710

Gabriel_Sports_Car	D	40.935866	-73.886223	10701

Mont_Olympos_Diner	B	40.980469	-73.831058	10710

Vark_Park_And_Playground	B	40.929418	-73.899226	10701

Pizza_Gourmet_Restaurant	B	40.951733	-73.727665	10543

Quality_Body_Works	D	40.896267	-73.822828	10550

BP	C	40.873092	-73.854302	10469

Burger_Truck	B	40.982232	-73.829109	10710

Broadway_Seafood_Restaurant	B	40.949078	-73.893948	10701

Local_HVAC_Expert_Greenwich	C	41.00269	-73.682913	10573

First_Reformed_Church	A	40.907529	-73.837298	10550

Artistic_Touch_Hair_Salon	B	40.926566	-73.839135	10552

Jane_Bakes	B	40.935933	-73.900664	10701

Rent-A-Center	C	40.889573	-73.8592	10466

Municipal_Credit_Union	C	40.880061	-73.827439	10475

Island_Chop	C	40.891329	-73.861748	10466

Nogueira's_Auto_Body	D	40.907518	-73.849873	10550

The_Pub	B	41.04483	-73.689702	10573

Wells_Fargo	C	41.000655	-73.680043	10573

Gospel_Assembly_Church_Of_Jesus_Christ_Apostolic_Inc	A	40.882316	-73.856985	10469

El_Parral	B	41.000278	-73.664204	10573

Carvel	B	41.012209	-73.656202	10573

Master_Cuts	B	41.002793	-73.667336	10573

City_World_Hyundai	C	40.874308	-73.851753	10469

St_Joseph's_Medical_Center	A	40.928788	-73.897511	10701

Western_Union	C	40.889448	-73.843135	10466

Fellow_Laborers_Of_Love_Christian_Center_Inc	A	40.889891	-73.841303	10466

Blulift_Auto	D	40.961799	-73.891014	10701

Mt_Olivet_Apostolic_Faith_Church	A	40.895807	-73.836873	10550

Jackie's_West_Indian_Bakery	E	40.889502	-73.843352	10466

Mosholu_Montefiore_Community_Center	A	40.884514	-73.843042	10466

State_Farm	C	40.9363	-73.898632	10701

Westchester_Audiology_&_Hearing_Aid_Specialist	B	41.002777	-73.684429	10573

Speedway	C	40.956383	-73.738001	10543

Special_Lady_VIP	B	40.914733	-73.837649	10550

Monteverde_at_Old_Stone	B	41.298994	-73.951086	10567

ABC_Yonkers_Barber_Shop	B	40.924322	-73.866703	10704

Oppenheimer_Suzi_State_Senator	B	40.990111	-73.667264	10573

Scott_E_Newman_MD_FACS	A	40.969469	-73.881616	10701

ConocoPhillips	C	40.899239	-73.832662	10550

Jollys_Threading_&_Waxing_Salon	B	40.926008	-73.868795	10704

Little_Cabin_Sandwich_Shop	B	41.290486	-73.848824	10567

Westchester_Center_For_Rehabilitation_&_Nursing	B	40.91191	-73.826813	10550

Fez_Turkish_Meze	B	40.951962	-73.73687	10543

Little_Negril	B	40.87641	-73.847737	10469

Webster_Bank	C	40.971701	-73.835957	10710

Elm_Street_Liquor_Store	C	40.933545	-73.891123	10701

ABC_Cakes	E	40.951854	-73.736284	10543

First_Church_Of_The_Christ_Mind_Inc	A	40.899593	-73.835764	10550

Burger_King	B	40.900938	-73.820591	10550

Grape_N_Grey	B	40.934788	-73.897708	10701

Mamaroneck_Oral_Surgery	A	40.950287	-73.735331	10543

Yonkers_Fire_Department_Station_7	A	40.919504	-73.868708	10704

US_1_Brushless_Carwash	D	40.995441	-73.671793	10573

Sports_City_Estates	B	40.955295	-73.863434	10710

Dentistry_For_Children_Yonkers	A	40.930077	-73.89805	10701

United_States_Postal_Service_(USPS)	C	41.003285	-73.668172	10573

Macrosoft_Solution	C	40.943765	-73.88094	10701

Patty's_Portico_Outdoor_Furniture_&_Restoration	C	41.004329	-73.661927	10573

Lake_Mohegan_Fire_District_Station_4_Hollowbrook	A	41.325833	-73.882929	10567

Bronx_Eye_Care	A	40.869717	-73.828167	10475

H&R_Block	A	40.913222	-73.83756	10550

Kin_Loam_Kitchen	B	40.911225	-73.845861	10550

El_Chalan_Restaurant	B	40.994743	-73.666781	10573

Bronx_Boro_Fuel_Oil	C	40.895049	-73.827576	10550

LabCorp	A	41.289937	-73.893865	10567

Mavis_Discount_Tire	D	40.908726	-73.84737	10550

Semaca_Auto_Repairs	D	40.999709	-73.667511	10573

Pan_America_Bakery_&_Cafe	E	40.9997	-73.664675	10573

Section_5_Pizza	B	40.864497	-73.82242	10475

King_Tot_Kindergarten&nursery	A	40.889331	-73.836785	10466

Metro_by_T_Mobile_Authorized_Dealer	C	40.86984	-73.828233	10475

Pier_1_Imports	C	40.866882	-73.827577	10475

Rooms_By_Beca	C	40.955733	-73.870014	10710

Loop	C	40.934108	-73.899114	10701

Sarkeyth_African_Hair_Braiding	B	40.889353	-73.859337	10466

Cortlandt_Manor_Orthodontist	A	41.298092	-73.888489	10567

Hampshire_Country_Club	B	40.935464	-73.739194	10543

Auntie_Anne's	B	40.928279	-73.856552	10704

Living_Praise_Ministries	A	40.888274	-73.853718	10466

State_Farm	C	41.300104	-73.884726	10567

Kingdom_Hall_Jehovah's_Witnesses_Enedwald_Unit	A	40.880865	-73.846669	10469

Gotham_Pledge	A	40.914195	-73.837612	10550

Five_Star_Contracting_of_NY	D	40.904273	-73.842787	10550

Elim	A	40.881248	-73.840556	10466

H&R_Block	A	40.887369	-73.860957	10466

H&M_(Hennes_&_Mauritz)	C	40.927894	-73.854543	10704

Beulah_Temple_Church_Of_Jesus_Christ_Apostolic	A	40.869847	-73.843823	10469

Joe's_Pizza_&_Madrid_Tapas	B	40.950561	-73.734525	10543

The_Brow_&_Some	B	40.998236	-73.664857	10573

Boiano_Bakery	E	40.950486	-73.734486	10543

Stop_&_Shop_Pharmacy_2592	A	40.868512	-73.825747	10475

Christ_Lutheran_Ministries_Of_Southern_Westchester	A	40.976267	-73.828464	10710

Eddie_Williams_Park	B	40.904729	-73.837145	10550

Statewide_Ambulette_Service	B	40.923998	-73.84125	10552

Great_Wall_Chinese_Restaurant	B	40.901149	-73.820439	10550

GNC_(General_Nutrition_Centers)	A	40.864335	-73.827414	10475

Taconic_Rt_202_24_Hour_Veterinary_Center	A	41.288953	-73.842203	10567

Mamaroneck_High_School	A	40.940679	-73.743686	10543

The_First_Baptist_Church_Of_Mamaroneck_Inc	A	40.958296	-73.735455	10543

New_York_Public_Library_Baychester_Library	B	40.870725	-73.829314	10475

Applemed_Urgent_Care	A	40.924521	-73.836691	10552

Easy_Towing	C	40.930853	-73.894392	10701

Five_Below	C	40.985924	-73.824427	10710

Bobos_Nails_&_Spa	B	40.99864	-73.66476	10573

Buks_Mowing_Services	C	41.30999	-73.897047	10567

Custom_Paint_By_Vjl	D	40.913856	-73.848379	10550

Metro_by_T_Mobile_Authorized_Dealer	C	41.000773	-73.663137	10573

It's_A_Dog's_World	C	40.908223	-73.858498	10704

Adam_Y_Goldman_MD_Metropolitan_Vein_and_Aesthetic_Centers	A	40.908432	-73.87391	10704

Verizon_Wireless	C	40.92651	-73.853075	10704

Inca_and_Gaucho_Restaurant	B	41.001942	-73.665965	10573

Chase	C	40.911199	-73.838134	10550

Arrow_Office_Furniture_&_Services	C	40.9556	-73.869727	10710

1-800-Flowers	C	40.92512	-73.835804	10552

