category	latitude	longitude
K	40.915282	-73.807589
K	40.933187	-73.758986
SR	41.002059	-73.81296
K	40.99305	-73.822269
CC	40.947308	-73.763184
V	40.930089	-73.767382
ER	40.909479	-73.779993
U	40.91225	-73.775155
X	40.971365	-73.776537
K	40.99612	-73.817768
SR	40.923989	-73.781976
K	40.906552	-73.811653
SR	40.908645	-73.779964
ST	40.9332	-73.759017
ST	40.902651	-73.790763
R	40.927661	-73.752149
ST	40.932603	-73.762252
V	40.919932	-73.750403
K	40.932396	-73.759599
K	40.971053	-73.806647
G	40.987156	-73.809809
ST	40.927225	-73.771611
K	40.915115	-73.807573
SR	40.981485	-73.776538
ST	40.917516	-73.806836
K	40.909978	-73.780366
K	40.915286	-73.807522
CC	40.9131	-73.790648
CC	40.932865	-73.761838
K	40.893771	-73.820547
K	40.909156	-73.781681
CC	40.988038	-73.824912
CC	40.923386	-73.760283
R	40.973786	-73.803218
V	40.918426	-73.771905
CC	40.988283	-73.806716
M	41.010415	-73.808392
SR	40.920593	-73.765167
ST	40.914268	-73.782606
G	40.947168	-73.793993
CC	40.913081	-73.790708
R	40.976903	-73.80352
ST	40.901593	-73.788163
K	40.93333	-73.759358
SR	40.930353	-73.750672
CC	40.896075	-73.804884
K	40.929686	-73.751745
SR	40.943636	-73.795416
CC	40.910231	-73.788911
K	40.909299	-73.811156
ST	40.91803	-73.785882
SR	40.933627	-73.758687
SR	40.931218	-73.761112
CC	40.96949	-73.806203
P	40.911686	-73.781671
SR	40.917589	-73.768904
K	40.987643	-73.809808
CC	40.960657	-73.795226
K	40.988997	-73.809025
SR	40.906648	-73.811543
G	40.986988	-73.810366
SR	40.927578	-73.750745
ST	40.92887	-73.750815
CC	40.911959	-73.782141
MF	40.907503	-73.779184
SR	40.910881	-73.79641
ER	40.924486	-73.773003
ER	40.892842	-73.785745
ST	40.912843	-73.774968
K	40.923197	-73.787954
WT	40.932558	-73.764327
ST	40.989113	-73.824602
X	40.976535	-73.803575
CC	40.969422	-73.806026
K	40.906746	-73.785221
CC	40.99377	-73.822603
SR	40.908636	-73.793942
ER	40.988989	-73.808968
G	40.90233	-73.789629
K	40.987278	-73.809806
CC	40.933252	-73.758368
R	40.979543	-73.801461
V	40.918195	-73.786495
K	40.898439	-73.790603
R	40.915559	-73.771539
K	40.930159	-73.751398
ST	40.992955	-73.822165
SR	40.999925	-73.816359
U	40.92766	-73.752148
SR	40.920947	-73.787127
MF	40.988979	-73.807545
R	40.933668	-73.747902
ST	40.976249	-73.804164
V	40.90474	-73.785251
ER	40.979335	-73.804608
ER	40.98686	-73.773527
K	40.90866	-73.783399
K	40.909589	-73.798297
M	40.917412	-73.778396
G	40.917998	-73.785888
R	40.920933	-73.805211
R	40.987771	-73.808268
ST	40.946788	-73.79254
CC	40.909378	-73.779935
K	40.914913	-73.772438
ST	40.937429	-73.745841
R	40.976505	-73.803545
V	40.907003	-73.779547
ST	40.906298	-73.78771
ER	40.903068	-73.768623
SR	40.974624	-73.803899
SR	40.915488	-73.809281
ST	40.980375	-73.776493
V	40.909254	-73.780748
ER	40.985304	-73.776731
V	40.908355	-73.781373
ST	40.922261	-73.77373
SR	40.981531	-73.776543
CC	40.98803	-73.824909
R	40.916123	-73.770308
K	40.987119	-73.809808
V	40.909662	-73.790969
K	40.9968	-73.817262
V	40.990904	-73.800461
ST	41.007532	-73.809481
K	40.998222	-73.815352
CC	40.905772	-73.785938
V	40.906959	-73.779538
V	40.914388	-73.785016
K	40.930455	-73.74989
V	40.904726	-73.785247
V	40.916958	-73.7939
SR	40.928226	-73.765147
K	40.914345	-73.773625
ST	40.976386	-73.803003
ST	40.946489	-73.795128
M	40.953552	-73.793651
ER	40.985475	-73.808715
K	40.914437	-73.773285
SR	40.922	-73.763806
CC	40.989081	-73.809167
K	40.99721	-73.817589
K	40.931678	-73.760349
K	40.984247	-73.775384
M	40.928926	-73.769571
M	41.000019	-73.814935
K	40.973432	-73.804051
R	40.946712	-73.795936
CC	40.988137	-73.807354
K	40.909534	-73.794577
K	40.926549	-73.786273
K	40.914467	-73.794455
K	40.909618	-73.780796
CC	40.978692	-73.806276
ST	40.906532	-73.786463
R	40.902743	-73.789791
CC	40.913521	-73.786096
G	40.987783	-73.837559
X	40.890583	-73.804226
ST	40.97006	-73.805499
ST	40.991461	-73.822998
K	41.009103	-73.809606
ST	40.969839	-73.80591
K	40.932139	-73.757734
ST	40.911057	-73.77968
K	40.91229	-73.781857
ST	40.969419	-73.806474
ST	40.986732	-73.826257
ER	40.88459	-73.791454
ER	40.89566	-73.793056
ST	40.906965	-73.78854
CC	40.916588	-73.806747
CC	40.985785	-73.809984
ST	40.92872	-73.771448
ER	40.979325	-73.78088
M	40.99518	-73.819832
K	40.918038	-73.786378
ST	40.947619	-73.795357
K	40.904223	-73.788519
K	40.911495	-73.777814
ST	40.980506	-73.808962
SR	40.927866	-73.766033
G	40.991489	-73.823099
V	40.905094	-73.787585
CC	40.913627	-73.779314
ER	40.988857	-73.82481
K	40.918828	-73.805796
G	40.933124	-73.75903
K	40.927368	-73.789721
K	40.920373	-73.787212
CC	40.893373	-73.78464
K	40.935357	-73.75972
M	40.991268	-73.822762
R	41.002177	-73.813668
K	40.989489	-73.806872
ER	40.918345	-73.774214
SR	40.917713	-73.785373
CC	40.914454	-73.784754
CC	40.901443	-73.770481
SR	40.913946	-73.777816
CC	41.00528	-73.812563
K	40.891973	-73.820881
ST	40.892947	-73.818066
M	40.94878	-73.792265
G	40.929511	-73.751685
V	40.927069	-73.750652
ST	40.929299	-73.751181
SR	40.97773	-73.805037
