location_name	top_category	latitude	longitude
Manny Mofongo,Restaurants and Other Eating Places,40.939285,-73.888923
Richie Rich Caribbean Taste,Restaurants and Other Eating Places,40.908153,-73.847632
KFC,Restaurants and Other Eating Places,40.931911,-73.895435
Parkside Assembly Of God,Religious Organizations,41.014928,-73.663738
Chris Breezy Customs,Automotive Repair and Maintenance,40.953741,-73.724573
Hudson Contractor,Automotive Repair and Maintenance,40.933683,-73.883716
Euro Asian International,Automotive Repair and Maintenance,40.890177,-73.82816
Community Church At the Circle,Religious Organizations,40.91789,-73.837229
Millennium Cd & Records,Electronics and Appliance Stores,40.88977,-73.859601
M & P Auto Repair,Automotive Repair and Maintenance,41.00269,-73.664636
Light House New Day International Church Of God Inc,Religious Organizations,40.911022,-73.845846
BP,Gasoline Stations,40.888599,-73.842763
City World Hyundai,Automobile Dealers,40.874308,-73.851753
Mclean Ave Bagel Cafe,Restaurants and Other Eating Places,40.903437,-73.867002
Happy Corner Day Care Center Inc,Child Day Care Services,41.002135,-73.67478
New Hope Reformed Church,Religious Organizations,40.957375,-73.859812
Albert Florist,Florists,41.012047,-73.656004
Wasicsko Park,Museums, Historical Sites, and Similar Institutions,40.949361,-73.874206
Arcadia Floral Co,Florists,40.952083,-73.735918
Soul Winning Mission,Religious Organizations,40.95289,-73.740084
DSW (Designer Shoe Warehouse),Shoe Stores,40.867973,-73.826871
Sunglass Hut,Health and Personal Care Stores,40.86288,-73.828058
Journeys,Shoe Stores,40.863616,-73.82766
Family Dollar Stores,General Merchandise Stores, including Warehouse Clubs and Supercenters,40.915681,-73.84227
Luigi of Italy Unisex Salon,Personal Care Services,40.914297,-73.858202
Marist Brothers Of The Schools Inc,Religious Organizations,40.898681,-73.841352
Nail Pro,Personal Care Services,40.924774,-73.856179
Sempre Bella,Personal Care Services,41.009103,-73.661703
PetSmart,Other Miscellaneous Store Retailers,40.980859,-73.827327
Untouchables Barbershop,Personal Care Services,40.952057,-73.843974
VIM,Clothing Stores,40.898336,-73.854743
CrossFit,Other Amusement and Recreation Industries,40.95113,-73.74099
Panda Chinese Kitchen,Restaurants and Other Eating Places,40.914573,-73.858782
The Union Dominican Hair Stylist,Personal Care Services,40.892725,-73.855962
Church of The Holy Spirit,Religious Organizations,41.291864,-73.896449
Club Pilates,Other Amusement and Recreation Industries,40.991843,-73.674472
Express Furniture Warehouse,Furniture Stores,40.900172,-73.824459
Caffe Classico,Restaurants and Other Eating Places,40.935609,-73.859647
The Pub,Restaurants and Other Eating Places,40.91959,-73.865099
